media_spend_id,execution_id,market_id,channel_id,platform,planned_spend,actual_spend,currency,period_start,period_end
ms-2024-03-07-0001,execution:exec-2024-005,market:UK,channel:OOH,Clear Channel,161727,173396,GBP,2024-03-07,2024-03-26
ms-2024-05-02-0002,execution:exec-2024-008,market:UK,channel:OOH,JCDecaux,183729,189748,GBP,2024-05-02,2024-05-18
ms-2024-05-03-0003,execution:exec-2024-011,market:UK,channel:PAID_MEDIA,Pinterest,75589,83944,GBP,2024-05-03,2024-05-20
ms-2024-04-22-0004,execution:exec-2024-013,market:US,channel:OOH,Clear Channel,199487,219600,GBP,2024-04-22,2024-05-18
ms-2024-03-28-0005,execution:exec-2024-016,market:US,channel:PAID_MEDIA,Pinterest,58486,53217,GBP,2024-03-28,2024-04-09
ms-2024-04-17-0006,execution:exec-2024-018,market:DE,channel:OOH,Ocean Outdoor,214979,222935,GBP,2024-04-17,2024-04-29
ms-2024-05-15-0007,execution:exec-2024-021,market:DE,channel:PAID_MEDIA,Pinterest,21647,20866,GBP,2024-05-15,2024-06-09
ms-2024-04-28-0008,execution:exec-2024-023,market:FR,channel:OOH,Clear Channel,112253,121885,GBP,2024-04-28,2024-05-09
ms-2024-04-03-0009,execution:exec-2024-026,market:FR,channel:PAID_MEDIA,TikTok,53257,50287,GBP,2024-04-03,2024-04-29
ms-2024-02-24-0010,execution:exec-2024-029,market:UK,channel:PAID_MEDIA,TikTok,53724,57199,GBP,2024-02-24,2024-04-06
ms-2024-06-10-0011,execution:exec-2024-031,market:UK,channel:PAID_MEDIA,TikTok,19136,17512,GBP,2024-06-10,2024-06-29
ms-2024-06-22-0012,execution:exec-2024-032,market:UK,channel:PAID_MEDIA,Pinterest,28901,29417,GBP,2024-06-22,2024-07-06
ms-2024-07-10-0013,execution:exec-2024-033,market:UK,channel:PAID_MEDIA,Google,64995,57942,GBP,2024-07-10,2024-08-01
ms-2024-05-02-0014,execution:exec-2024-043,market:US,channel:PAID_MEDIA,Google,34986,31035,GBP,2024-05-02,2024-05-17
ms-2024-10-28-0015,execution:exec-2024-044,market:US,channel:PAID_MEDIA,Meta,39951,39959,GBP,2024-10-28,2024-11-22
ms-2024-07-03-0016,execution:exec-2024-045,market:US,channel:PAID_MEDIA,Pinterest,31021,29861,GBP,2024-07-03,2024-08-04
ms-2024-08-12-0017,execution:exec-2024-055,market:DE,channel:PAID_MEDIA,Google,34143,31377,GBP,2024-08-12,2024-09-08
ms-2024-08-17-0018,execution:exec-2024-056,market:DE,channel:PAID_MEDIA,TikTok,71408,74933,GBP,2024-08-17,2024-09-12
ms-2024-09-08-0019,execution:exec-2024-057,market:DE,channel:PAID_MEDIA,Google,37636,37908,GBP,2024-09-08,2024-09-20
ms-2024-08-08-0020,execution:exec-2024-067,market:FR,channel:PAID_MEDIA,Google,66462,63584,GBP,2024-08-08,2024-08-26
ms-2024-04-15-0021,execution:exec-2024-068,market:FR,channel:PAID_MEDIA,TikTok,67452,73469,GBP,2024-04-15,2024-05-07
ms-2024-11-03-0022,execution:exec-2024-069,market:FR,channel:PAID_MEDIA,Google,54215,58802,GBP,2024-11-03,2024-12-02
ms-2024-04-22-0023,execution:exec-2024-079,market:UK,channel:PAID_MEDIA,Pinterest,36264,34103,GBP,2024-04-22,2024-05-09
ms-2024-03-15-0024,execution:exec-2024-083,market:US,channel:PAID_MEDIA,Pinterest,62837,66881,GBP,2024-03-15,2024-04-15
ms-2024-03-20-0025,execution:exec-2024-087,market:DE,channel:PAID_MEDIA,Meta,70554,70337,GBP,2024-03-20,2024-04-02
ms-2024-03-05-0026,execution:exec-2024-091,market:FR,channel:PAID_MEDIA,TikTok,64880,59451,GBP,2024-03-05,2024-03-21
ms-2025-02-26-0027,execution:exec-2025-010,market:US,channel:OOH,Ocean Outdoor,208593,196100,GBP,2025-02-26,2025-03-10
ms-2025-02-01-0028,execution:exec-2025-011,market:US,channel:OOH,Sapience,51959,47832,GBP,2025-02-01,2025-02-15
ms-2024-11-10-0029,execution:exec-2024-099,market:US,channel:OOH,JCDecaux,42033,44514,GBP,2024-11-10,2024-11-26
ms-2025-01-21-0030,execution:exec-2025-012,market:US,channel:OOH,Sapience,127920,129340,GBP,2025-01-21,2025-02-02
ms-2024-11-29-0031,execution:exec-2024-100,market:US,channel:OOH,Sapience,60907,61588,GBP,2024-11-29,2024-12-19
ms-2024-11-13-0032,execution:exec-2024-101,market:US,channel:OOH,Clear Channel,66366,63956,GBP,2024-11-13,2024-12-01
ms-2025-01-30-0033,execution:exec-2025-013,market:US,channel:OOH,JCDecaux,209966,211425,GBP,2025-01-30,2025-02-20
ms-2024-11-10-0034,execution:exec-2024-102,market:US,channel:PAID_MEDIA,Google,28454,29628,GBP,2024-11-10,2024-11-29
ms-2025-06-02-0035,execution:exec-2025-014,market:US,channel:PAID_MEDIA,Pinterest,15703,15828,GBP,2025-06-02,2025-06-28
ms-2025-02-06-0036,execution:exec-2025-015,market:US,channel:PAID_MEDIA,Meta,52200,52014,GBP,2025-02-06,2025-03-05
ms-2025-01-31-0037,execution:exec-2025-016,market:US,channel:PAID_MEDIA,Pinterest,67418,68971,GBP,2025-01-31,2025-02-17
ms-2025-06-04-0038,execution:exec-2025-017,market:US,channel:PAID_MEDIA,Meta,65924,68457,GBP,2025-06-04,2025-06-27
ms-2024-12-26-0039,execution:exec-2024-103,market:US,channel:PAID_MEDIA,Google,63417,60146,GBP,2024-12-26,2025-01-09
ms-2025-04-21-0040,execution:exec-2025-018,market:US,channel:PAID_MEDIA,Google,71331,67736,GBP,2025-04-21,2025-05-08
